id,title,status,loc.0,date,time,mins,desc,tags.0,tags.1,tags.2,people.0.id,people.0.name,people.1.id,people.1.name,people.2.id,people.2.name,people.3.id,people.3.name,people.4.id,people.4.name,people.5.id,people.5.name,people.6.id,people.6.name,people.7.id,people.7.name,227
32,PFS #6–99: True Dragons of Absalom (L4 pregen),,Hayes & Pre-Fun,2018-03-09,17:00,240,"A Pathfinder Society Scenario designed for 4th-level pregenerated characters.
 For several years, the Pathfinder Society has enjoyed a mutually beneficial alliance with the Sewer Dragons, the dominant tribe of kobolds living beneath Absalom. When an elite patrol discovers a wounded member of the Society with a desperate message, the Sewer Dragons must move quickly intercept an extraordinary threat from seizing their territory—if not Absalom itself! In this special adventure the players portray kobolds as unlikely defenders of the City at the Center of the World using 4th-level pregenerated characters.",gaming,Pathfinder,,29,G. Melone,,,,,,,,,,,,,,,
33,PFS #9-13: The Lion’s Justice (7-11),,Hayes & Pre-Fun,2018-03-09,17:00,240,"A Pathfinder Society Scenario designed for levels 7–11.
 Devious schemes are afoot in Oppara, the glittering capital of Taldor. As the city delights in a public holiday, Lady Gloriana Morilla and her allies have learned of an impending plot that could throw the whole nation into chaos. The PCs are uniquely poised to collaborate with Taldor's secretive Lion Blade spies to intercept the culprits in what promises to be a defining moment in Taldan history.",gaming,Pathfinder,,29,G. Melone,,,,,,,,,,,,,,,
35,SFS #1-07: The Solar Sortie (1-4),,Hayes & Pre-Fun,2018-03-09,17:00,240,"A Starfinder Society Scenario designed for levels 1–4.
 When Historia-7, the leader of the Dataphiles faction, uncovers the first hints of a conspiracy operating against the Starfinder Society, the PCs must assist her in uncovering the truth. Sent to a corporate space station orbiting the Pact Worlds' sun, the PCs must earn favor with the hedonist son of a corporate CEO to gain access to the confidential files Historia-7 needs. However, the PCs are stuck in the middle when this corrupt dilettante's proclivities and shady associations emerge to thwart the Starfinders' covert infiltration.",gaming,Starfinder,,29,G. Melone,,,,,,,,,,,,,,,
36,Teenage Mutant Ninja Turtles and Other Strangeness,,Hayes & Pre-Fun,2018-03-09,17:00,240,1-3 short scenarios from the TMNT Adventures and Road Hogs supplements.,gaming,TMNT,,76,T. Mallison,,,,,,,,,,,,,,,
37,The Lost Gospel of Jelvis (Savage Worlds- Low Life),,Hayes & Pre-Fun,2018-03-09,17:00,240,"Pimflax the Begrudging has unoithed what may be a recording of the voice of Jelvis himself! But now he's vanished, and Bubbles Baryshnikov, an oldster with an interest in the early church of the besequined eminence, wants the gospel found. Oh yeah, and if you can bring back Pimflax, that'd be great too. Bring a Seasoned Low Life character or one will be provided.",gaming,Low Life,,26,Erin,,,,,,,,,,,,,,,
38,Three Faces of Evil for Castles and Crusades,,Hayes & Pre-Fun,2018-03-09,17:00,240,"What’s better than D&D with Prizes for all??? NOTHING! Come join us for an old-school style D&D game. I'll provide the characters, the adventure, and swag for each player! You just bring your lucky dice. Prizes will be awarded for RPG skill & style.",gaming,D & D,RPG,38,K. Olsen,,,,,,,,,,,,,,,
34,PFS Ruins of Bonekeep 2: Maze to the Mind Slave (3-7),,Hayes & Pre-Fun,2018-03-09,17:00,300,"NOTE: This is a *timed* five-hour slot. Please arrive early.
 A Pathfinder Society Special designed for levels 3-7.
 A group of Pathfinders recently delved into the ruins of Bonekeep, a siege fortress destroyed centuries ago. There they discovered not only terrifying threats but also extraordinary treasures. Warded by the magic of a senior Pathfinder, the party must explore as much of Bonekeep as they can before the spell dissipates, lest they too are enslaved by the enchanted maze that looks hauntingly more familiar with each discovery.",gaming,Pathfinder,,29,G. Melone,,,,,,,,,,,,,,,
31,Opening Ceremonies,,McKinley A,2018-03-09,17:00,60,TBD,opening ceremonies,,,,,,,,,,,,,,,,,,,
39,AAROOOO!!!! Werewolf!,,Grant B/C,2018-03-09,18:00,105,"Join us for this fantastic game where werewolves collide with 
 “Clue™”. (ages 8+)",kids,gaming,,,,,,,,,,,,,,,,,,
41,Night Terrors,,Hayes & Pre-Fun,2018-03-09,18:00,240,"You awaken with a start. It is the dead of night. There is nothing strange going on that you can sense but you cannot shake the feeling that there is something very wrong. Moments later you hear a scream outside your window in the square, what do you do? Night Terrors is a horror chase game where dark things wait to consume the unwary and those living struggle to make it until dawn. Many will awaken to terror but few will survive. (Note: May be scary for some audiences but neither gory nor extremely graphic). Characters requirements are 3rd level, official Dungeons and Dragons 5th edition. Special pre-generated characters will be available upon request.",gaming,D & D,Night Terrors,58,Nate the Nerdarch,,,,,,,,,,,,,,,
42,What is Steampunk,,Pegasus,2018-03-09,18:00,60,"Introduction to steampunk including literature, music, fashion, and conventions.",panel ,steampunk,,16,Cleveland Zeppelin Union,,,,,,,,,,,,,,,
40,Author Showcase (Session 1),,Pres Boardroom,2018-03-09,18:00,60,"Listen to your favorite authors read excerpts from released and soon to be released works. Find your next great read. Ask questions, and discover the new worlds.",authors,readings,,55,M. Vibbert,84,V. Walker,31,J. Thorn,63,O. Berrier,28,G. Landis,,,,,,,
43,Harp Twins Concert,,McKinley A,2018-03-09,18:30,60,TBD,Harp Twins,performance,music,81,The Harp Twins,,,,,,,,,,,,,,,
44,Authors Autographing (Session 1),,Grant A,2018-03-09,19:00,60,"Meet and talk with your favorite authors and rising stars. Purchase books and have them signed. Guest Authors: Marie Vibbert, Vik K Walker, J. Thorn, Olivia Berrier, Geoffrey Landis",authors,autographs ,,55,M. Vibbert,84,V. Walker,31,J. Thorn,63,O. Berrier,28,G. Landis,,,,,,,
47,Star Trek Panic,,Hayes & Pre-Fun,2018-03-09,19:00,180,Up to six players work together to complete missions aboard the USS Enterprise in this cooperative board game adventure.,gaming,Star Trek,,71,S. Clark,,,,,,,,,,,,,,,
48,"Villains, More Than Just Black Hats",,McKinley B,2018-03-09,19:00,60,Bad guys don't do bad things without a reason; how to make your villains more than just stereotypically evil.,authors,writing,panel,3,A. King,9,B. Doran,12,B. Seth,32,J. Blackrose,15,C. Matthews,,,,,,,
45,Midnight Monster Movies with Dr. Bob,,Pegasus,2018-03-09,19:00,120,Midnight Monster Movies returns to ConCoction with a cheesy fun movie for everyone to enjoy!,film/media,performance,,10,B. Gilbert,49,M. Gilbert,,,,,,,,,,,,,
46,Special FX,,Pres Boardroom,2018-03-09,19:00,60,TBD,panel ,,,44,Legion of Terror,,,,,,,,,,,,,,,
50,Super Heroes and Villians (D&D 101),,Grant B/C,2018-03-09,20:00,60,"Join us for a fun super hero D&D larp session. Costume props and character sheets will be provided, just bring your imagination! (ages 6+)",,,,,,,,,,,,,,,,,,,,
49,Gild The Mourn,,McKinley A,2018-03-09,20:00,60,Fairytale themed Gothic Rock,,,,6,A. Metro,30,G. Metro,,,,,,,,,,,,,
